coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
3f5adf43-4cd4-4e57-bdc5-a5f134af727c,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 720542,insecta,ent,,,thomas r. manley,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,snyder county,1997-08-11T00:00:00+00:00,2017-03-29T11:15:03.396320+00:00,0.2647058823529412,,,,,,ec6b2921dab50805d8e7d822cacac4f7d2b29376,1997-08-11,papilionidae,,"[""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,5 miles north of liverpool,,,,,,,,,urn:uuid:32dcd744-076d-4624-995c-22eafbdb65de,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:32dcd744-076d-4624-995c-22eafbdb65de""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,223,pennsylvania,1938016,accepted,species,,3f5adf43-4cd4-4e57-bdc5-a5f134af727c,,,,
446f101f-ab5d-4f40-b021-7f4d47c2ec59,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 720376,insecta,ent,,,thomas r. manley,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,marion county,1973-07-30T00:00:00+00:00,2017-03-29T11:15:03.396320+00:00,0.2647058823529412,,,,,,092384d290da696489fdbef0d175d5ba649dd67d,1973-07-30,papilionidae,,"[""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,2 miles north of katy,,,,,,,,,urn:uuid:6268c64d-e4b7-45a1-ac6a-679b3338f0c5,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:6268c64d-e4b7-45a1-ac6a-679b3338f0c5""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,211,west virginia,1938016,accepted,species,,446f101f-ab5d-4f40-b021-7f4d47c2ec59,,,,
482b823b-cb41-4a4e-9196-a13c18758ce6,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 720922,insecta,ent,,,thomas r. manley,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,marion county,1966-06-14T00:00:00+00:00,2017-03-29T11:15:03.396320+00:00,0.2647058823529412,,,,,,f2eefc2a25406685de1fd4e1ad68a9a972f1e44d,1966-06-14,papilionidae,,"[""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,2 miles north of katy,,,,,,,,,urn:uuid:d51b418b-eea5-46c4-9a4e-b3f96b2c90f0,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:d51b418b-eea5-46c4-9a4e-b3f96b2c90f0""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,165,west virginia,1938016,accepted,species,,482b823b-cb41-4a4e-9196-a13c18758ce6,,,,
1e4af168-d15a-4454-b7b8-03133da30fc5,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 720486,insecta,ent,,,lincoln p. brower,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,morris county,1951-08-18T00:00:00+00:00,2017-03-29T11:15:03.396320+00:00,0.2647058823529412,,,,,,deef408fac2b0eeb76185bbcec766f670527d191,1951-08-18,papilionidae,,"[""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,towaco,,,,,,,,,urn:uuid:71f9e74d-1e75-41d2-a5b3-535e14cc245e,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:71f9e74d-1e75-41d2-a5b3-535e14cc245e""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,230,new jersey,1938016,accepted,species,,1e4af168-d15a-4454-b7b8-03133da30fc5,,,,
26ac0f4a-ef3a-4c88-8bec-58651081fcf8,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 720532,insecta,ent,,,charles g. oliver,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,allegheny county,1968-07-29T00:00:00+00:00,2017-03-29T11:15:03.396320+00:00,0.2647058823529412,,,,,,a297ee4822129d11cc27814bccbf57dfb07d9a9d,1968-07-29,papilionidae,,"[""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,forward township,,,,,,,,,urn:uuid:7ffb1d5d-2981-48d2-8778-3fd06a75cf53,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:7ffb1d5d-2981-48d2-8778-3fd06a75cf53""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,211,pennsylvania,1938016,accepted,species,,26ac0f4a-ef3a-4c88-8bec-58651081fcf8,,,,
29428f3b-f5d9-4d12-a86e-e2099681f837,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 720380,insecta,ent,,,thomas r. manley,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,marion county,1966-08-01T00:00:00+00:00,2017-03-29T11:15:03.396320+00:00,0.2647058823529412,,,,,,e6556763c3320ed5a650aa92ae631e5499d31f5e,1966-08-01,papilionidae,,"[""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,2 miles north of katy,,,,,,,,,urn:uuid:fb6c5baa-9ba5-438c-90d2-a0c80d51cf14,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:fb6c5baa-9ba5-438c-90d2-a0c80d51cf14""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,213,west virginia,1938016,accepted,species,,29428f3b-f5d9-4d12-a86e-e2099681f837,,,,
2a8d1aab-301f-4a88-8c52-62fb384c5e90,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 431558,insecta,ent,,,thomas r. manley,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,snyder county,1977-08-03T00:00:00+00:00,2017-03-29T11:15:03.396320+00:00,0.2647058823529412,,,,,,bd78f4f43370bd3439ccb164ae00ddf6a0f7f132,1977-08-03,papilionidae,,"[""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,5 miles north of liverpool,,,,,,,,,urn:uuid:22f0b85e-f119-4f45-b5be-d00f7d0ef31f,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:22f0b85e-f119-4f45-b5be-d00f7d0ef31f""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,215,pennsylvania,1938016,accepted,species,,2a8d1aab-301f-4a88-8c52-62fb384c5e90,,,,
0360a607-04f3-4193-ac92-e1765897a07d,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 431522,insecta,ent,,,lincoln p. brower,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,highlands county,1956-03-07T00:00:00+00:00,2017-03-29T11:15:03.396320+00:00,0.2647058823529412,,,,,,74aac338764a76ba4110f16293df7218eecb7b20,1956-03-07,papilionidae,,"[""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,parker island,,,,,,,,,urn:uuid:3efa82b0-3765-4d92-9f45-1a47c71da94c,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:3efa82b0-3765-4d92-9f45-1a47c71da94c""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,67,florida,1938016,accepted,species,,0360a607-04f3-4193-ac92-e1765897a07d,,,,
0c2e9fde-f390-483d-b285-4e650c4bbcdc,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 720493,insecta,ent,,,frank m. jones,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,,,2017-03-29T11:15:03.396320+00:00,0.19117647058823528,,,,,,7992183569d62444bb490eceb21c72a0cdff29ef,,papilionidae,,"[""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,,,,,,,,,,urn:uuid:6d54237f-7790-4fc4-bcbb-6159554fc8ed,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:6d54237f-7790-4fc4-bcbb-6159554fc8ed""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,,maryland,1938016,accepted,species,,0c2e9fde-f390-483d-b285-4e650c4bbcdc,,,,
f1b10be7-7cde-4f5e-8170-cce90606e0be,,,preservedspecimen,,"papilio glaucus linnaeus, 1758",ypm ent 552109,insecta,ent,,,lincoln p. brower,swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""swallowtails; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,,united states,usa,,1959-08-14T19:59:00-15:00,2017-03-29T11:15:03.396320+00:00,0.25,,,,,,8fce42d50af9014d3f68c5553106bfdfd85cf374,1959-08-14/1959-08-15,papilionidae,,"[""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added""]",,papilio,,,,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; papilionidae; papilioninae,,1.0,,ypm,,,animalia,,,,,,,"vicinity of margaret, fannin, and union counties",,,,,,,,,urn:uuid:31ee07a0-b25e-4b03-89bd-9f7f1c02cdae,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:31ee07a0-b25e-4b03-89bd-9f7f1c02cdae""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,papilio glaucus,glaucus,226,georgia,1938016,accepted,species,,f1b10be7-7cde-4f5e-8170-cce90606e0be,,,,
