coreid,aec:associatedTaxa,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:nameAccordingToID,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:originalNameUsage,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,fcc:datePicked,fcc:pickedBy,gbif:Identifier,gbif:Reference,idigbio:preservative,idigbio:recordId,idigbio:subfamily,idigbio:substrate,idigbio:superfamily,symbiota:recordEnteredBy,symbiota:verbatimScientificName
7463ec51-3446-48eb-bc98-3609fc320f72,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:14:51.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,192455,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Newton Co,,herps-30-jan-2017,,,24,,,,,,,,,,24,,,,,,Polychrotidae,,541,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,02,,,,,,,ICZN,,,07599fb1-5357-4b3d-8b2a-b3a7aacce65a,,,Sauria,2021812,,,,,,FMNH,,Chordata,,,,,Harris,,,,,,Anolis carolinensis,,,,carolinensis,24,,,,,,,,,,,,,,,,,,,,1962,,,,,,,,,,,
a6b75301-0f08-45db-832b-37897f8a7831,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:14:51.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,192463,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Hinds Co,,herps-30-jan-2017,,,18,,,,,,,,,,18,,,,,,Polychrotidae,,594,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,5689f45b-2c02-4b2f-8f5c-a0a53fab8997,,,Sauria,2021820,,,,,,FMNH,,Chordata,,,,,C. Boone,,,,,,Anolis carolinensis,,,,carolinensis,18,,,,,,,,,,,,,,,,,,,,1962,,,,,,,,,,,
df768c80-70dc-40e2-b946-4402d57e42ca,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:14:51.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,192476,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Lincoln Co,,herps-30-jan-2017,,,14,,,,,,,,,,14,,,,,,Polychrotidae,,1437,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,bdd51331-1d99-4cb2-b45c-af09e611e5ca,,,Sauria,2021833,,,,,,FMNH,,Chordata,,,,,W. P. Miller,,,,,,Anolis carolinensis,,,,carolinensis,14,,,,,,,,,,,,,,,,,,,,1959,,,,,,,,,,,
f197d7e8-6091-4b0d-803c-efab54637dc1,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:14:52.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,192492,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,,,herps-30-jan-2017,,,21,,,,,,,,,,21,,,,,,Polychrotidae,,2364,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,04,,,,,,,ICZN,,,56a63571-ae10-40a3-903f-7bfa78b0e917,,,Sauria,2021849,,,,,,FMNH,,Chordata,,,,,J. Yount,,,,,,Anolis carolinensis,,,,carolinensis,21,,,,,,,,,,,,,,,,,,,,1962,,,,,,,,,,,
04683ee1-18cf-489d-8a05-dff8ca47677f,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:15:0.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,244339,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Ouachita Par,,herps-30-jan-2017,,,21,,,,,,,,,,21,,,,,,Polychrotidae,,813,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,1fc9280d-b133-4d46-8e1c-40ad181e2004,,,Sauria,2073753,,,,,,FMNH,,Chordata,,,,,R. E. Gordon,,,,,,Anolis carolinensis,,,,carolinensis,21,,,,,,,,,,,,,,,,,,,,1957,,,,,,,,,,,
872bf159-3858-4923-b6d1-430f1e84d797,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-11-24T13:15:0.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,244343,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Ouachita Par,,herps-30-jan-2017,,,21,,,,,,,,,,21,,,,,,Polychrotidae,,813,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,03,,,,,,,ICZN,,,83003e46-c879-4429-be78-d9cf04f3ace7,,,Sauria,2073757,,,,,,FMNH,,Chordata,,,,,R. E. Gordon,,,,,,Anolis carolinensis,,,,carolinensis,21,,,,,,,,,,,,,,,,,,,,1957,,,,,,,,,,,
b6756fc4-f062-432b-a285-2232d96f008f,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-3-11T11:13:59.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,244274,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Ouachita Par,,herps-30-jan-2017,,,,,,,,,,,,,,,,,,,Polychrotidae,,425/REG 810.42,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,ICZN,,,a36f5efa-a4da-4708-9e7b-a2e426092b3a,,,Sauria,2074122,,,,,,FMNH,,Chordata,,,,,R. E. Gordon,,,,,,Anolis carolinensis,,,,carolinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2abf838d-6c9a-455d-b860-50d88644cd5f,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-3-11T11:14:0.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,244284,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Ouachita Par,,herps-30-jan-2017,,,,,,,,,,,,,,,,,,,Polychrotidae,,425/REG 810.34,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,ICZN,,,26851fcb-385c-4771-88fe-05dbbc63911e,,,Sauria,2074142,,,,,,FMNH,,Chordata,,,,,R. E. Gordon,,,,,,Anolis carolinensis,,,,carolinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30951625-93cb-4391-ab92-6eb797e4a6cd,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-10-30T14:10:33.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,8129,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,Leon Co,,herps-30-jan-2017,,,12,,,,,,,,,,12,,,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,07,,,,,,,ICZN,,,82660d53-f973-4cd6-864b-3c3ab7c7f06d,,,Sauria,1835287,,,,,,FMNH,,Chordata,,,,,L. L. Walters,,,,,,Anolis carolinensis,,,,carolinensis,12,,,,,,,,,,,,,,,,,,,,1925,,,,,,,,,,,
b109d2c0-fcbe-438f-9531-1444a0ae283b,,,http://fieldmuseum.org/about/copyright-information,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-3-11T11:15:28.000CMT,,,The Field Museum of Natural History,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,249205,Reptilia,Amphibians and Reptiles,http://grbio.org/cool/05pf-h6mh,North America,,,USA,,,,herps-30-jan-2017,,,,,,,,,,,,,,,,,,,Polychrotidae,,14563.73,,,,,Anolis,,,,,,,,,,,Animalia Chordata Reptilia Sauria Polychrotidae,,,,,,,,,,,,,FMNH,http://biocol.org/urn:lsid:biocol.org:col:34795,,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,ICZN,,,b9a68db7-f01e-4cde-a8e9-f719d11b8b53,,,Sauria,2078984,,,,,,FMNH,,Chordata,,,,,,,,,,,Anolis carolinensis,,,,carolinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
